X,Y,Z,ID,TOF,TIME
-1.2836,4.4928,0.3491,0,2120,338
0.2761,0.9523,1.3956,1,951,487
0.1460,0.7645,1.4546,2,980,635
0.0099,-0.3951,0.8669,0,900,815
-0.3942,0.0079,0.5060,1,947,963
-0.1984,0.2983,0.2432,2,979,1113
-0.2260,0.1863,0.1331,0,897,1292
-0.1031,0.0407,0.2783,1,944,1440
-0.0253,0.1376,0.1823,2,984,1590
-0.0284,0.1038,0.1498,0,903,1768
0.0102,0.0536,0.2006,1,944,1916
0.0163,0.0618,0.1913,2,975,2065
0.0188,0.0624,0.1947,0,901,2244
0.0264,0.0559,0.2017,1,942,2392
0.0438,0.0748,0.1810,2,983,2540
0.0464,0.0943,0.2000,0,892,2720
0.0381,0.1085,0.1877,1,953,2869
0.0338,0.1059,0.1903,2,985,3016
0.0325,0.0940,0.1792,0,897,3196
0.0331,0.0932,0.1800,1,952,3344
0.0391,0.0985,0.1739,2,988,3492
0.0404,0.0871,0.1638,0,901,3673
0.0524,0.0740,0.1801,1,946,3822
0.0434,0.0633,0.1928,2,979,3971
0.0451,0.0750,0.2030,0,896,4149
0.0315,0.0911,0.1855,1,951,4298
0.0373,0.0999,0.1760,2,987,4448
0.0396,0.1046,0.1800,0,894,4625
0.0556,0.0860,0.2006,1,944,4773
0.0468,0.0767,0.2096,2,979,4922
0.0469,0.0618,0.1970,0,900,5102
0.0378,0.0729,0.1844,1,947,5250
0.0369,0.0707,0.1853,2,981,5398
0.0357,0.0559,0.1739,0,906,5578
0.0234,0.0713,0.1561,1,954,5726
0.0272,0.0762,0.1489,2,987,5874
0.0338,0.1101,0.1824,0,893,6054
0.0397,0.1063,0.1866,1,952,6202
0.0231,0.0860,0.2071,2,977,6350
0.0201,0.0528,0.1770,0,906,6531
0.0216,0.0534,0.1779,1,947,6680
0.0302,0.0606,0.1684,2,981,6829
0.0336,0.0697,0.1746,0,903,7007
0.0378,0.0664,0.1779,1,947,7154
0.0440,0.0755,0.1701,2,985,7304
0.0495,0.1004,0.1939,0,892,7483
0.0524,0.0967,0.1995,1,946,7631
0.0489,0.0937,0.2026,2,984,7780
0.0482,0.0842,0.1938,0,896,7959
0.0523,0.0795,0.1974,1,944,8108
0.0610,0.0897,0.1861,2,987,8256
0.0614,0.0697,0.1684,0,903,8435
0.0653,0.0665,0.1715,1,944,8584
0.0573,0.0579,0.1777,2,983,8731
0.0605,0.0781,0.1969,0,896,8912
0.0431,0.1040,0.1724,1,954,9061
0.0391,0.1019,0.1773,2,988,9209
0.0390,0.0996,0.1754,0,896,9389
0.0365,0.1008,0.1724,1,954,9536
0.0217,0.0855,0.1907,2,980,9684
0.0233,0.0848,0.1915,0,897,9865
0.0185,0.0921,0.1844,1,953,10012
0.0202,0.0950,0.1810,2,983,10162
0.0195,0.0890,0.1746,0,899,10341
0.0281,0.0771,0.1865,1,949,10489
0.0354,0.0836,0.1789,2,984,10639
0.0386,0.0878,0.1823,0,897,10817
0.0443,0.0826,0.1876,1,947,10964
0.0402,0.0774,0.1920,2,981,11113
0.0404,0.0685,0.1854,0,901,11293
0.0394,0.0708,0.1833,1,946,11443
0.0420,0.0727,0.1832,2,982,11590
0.0429,0.0666,0.1777,0,903,11769
0.0459,0.0633,0.1812,1,944,11918
0.0542,0.0762,0.1692,2,987,12066
