X,Y,Z,ID,TOF,TIME
1.4993,-1.8654,2.4376,0,60,11
1.6450,-1.8644,2.4455,1,976,468
1.2468,-0.5888,2.3851,2,896,617
0.8471,1.2093,2.5701,0,942,797
0.4051,0.6658,2.5160,1,977,945
0.4608,-0.7136,2.7294,2,902,1094
-0.5186,0.3847,3.1656,0,943,1273
-0.2515,0.9105,3.3718,1,984,1421
-0.6116,0.0299,4.0579,2,898,1570
-0.4884,-0.0824,3.9534,0,944,1750
-0.2416,0.2938,4.2988,1,977,1897
-0.2693,0.1929,4.3969,2,902,2045
-0.1069,0.0035,4.2075,0,937,2226
-0.0051,0.1274,4.3303,1,984,2374
-0.0071,0.1119,4.3428,2,896,2523
0.0248,0.0729,4.2999,0,947,2702
0.0457,0.0978,4.3244,1,986,2849
0.0442,0.0859,4.3374,2,899,2998
0.0462,0.0835,4.3336,0,952,3178
0.0420,0.0795,4.3295,1,982,3325
0.0429,0.0697,4.3374,2,903,3474
0.0602,0.0463,4.3115,0,939,3654
0.0780,0.0660,4.3333,1,987,3802
0.0806,0.0685,4.3328,2,901,3951
0.0768,0.0729,4.3388,0,947,4130
0.0746,0.0694,4.3366,1,987,4278
0.0781,0.0767,4.3312,2,899,4427
0.0908,0.0603,4.3125,0,938,4606
0.0804,0.0498,4.3030,1,979,4756
0.0795,0.0336,4.3172,2,905,4903
0.0653,0.0504,4.3355,0,944,5084
0.0710,0.0552,4.3426,1,985,5231
0.0721,0.0484,4.3481,2,909,5379
0.0875,0.0304,4.3274,0,936,5560
0.0783,0.0203,4.3168,1,976,5707
0.0814,0.0453,4.2920,2,898,5856
0.0747,0.0571,4.3029,0,938,6036
0.0791,0.0626,4.3093,1,982,6183
0.0786,0.0353,4.3333,2,908,6332
0.0780,0.0388,4.3363,0,940,6512
0.0703,0.0331,4.3299,1,979,6661
0.0738,0.0449,4.3188,2,903,6809
0.0763,0.0421,4.3168,0,937,6988
0.0843,0.0512,4.3248,1,983,7137
0.0884,0.0714,4.3067,2,895,7286
0.0722,0.0955,4.3292,0,950,7464
0.0535,0.0733,4.3064,1,979,7613
0.0528,0.0593,4.3204,2,901,7761
0.0523,0.0601,4.3193,0,944,7941
0.0589,0.0660,4.3261,1,982,8089
0.0586,0.0629,4.3289,2,902,8238
0.0605,0.0622,4.3279,0,945,8417
0.0731,0.0789,4.3429,1,990,8564
0.0721,0.0577,4.3606,2,909,8713
0.0799,0.0492,4.3506,0,945,8893
0.0795,0.0471,4.3481,1,986,9041
0.0851,0.0781,4.3182,2,896,9189
0.0801,0.0859,4.3259,0,947,9370
0.0726,0.0768,4.3168,1,984,9518
0.0710,0.0629,4.3289,2,902,9667
0.0780,0.0549,4.3202,0,940,9846
0.0755,0.0519,4.3152,1,980,9995
0.0778,0.0556,4.3119,2,900,10143
0.0795,0.0518,4.3071,0,937,10322
0.0824,0.0559,4.3126,1,982,10470
0.0859,0.0734,4.2960,2,893,10620
0.0736,0.0924,4.3161,0,947,10799
0.0640,0.0849,4.3080,1,983,10946
0.0639,0.0806,4.3128,2,895,11095
0.0684,0.0720,4.3052,0,942,11275
0.0654,0.0687,4.3017,1,980,11422
0.0639,0.0429,4.3234,2,905,11571
0.0572,0.0525,4.3344,0,945,11751
0.0553,0.0485,4.3320,1,980,11899
0.0611,0.0770,4.3044,2,894,12048
0.0620,0.0795,4.3063,0,944,12227
0.0533,0.0693,4.2955,1,977,12376
0.0543,0.0658,4.2997,2,896,12524
0.0507,0.0719,4.3085,0,945,12703
0.0448,0.0672,4.3034,1,976,12852
0.0409,0.0359,4.3325,2,909,13001
0.0474,0.0279,4.3256,0,941,13179
0.0551,0.0378,4.3345,1,978,13327
0.0605,0.0689,4.3059,2,896,13476
0.0446,0.0921,4.3292,0,953,13657
0.0369,0.0842,4.3206,1,981,13804
0.0376,0.0742,4.3274,2,900,13952
0.0570,0.0496,4.3018,0,939,14133
0.0582,0.0505,4.3034,1,976,14281
0.0571,0.0316,4.3186,2,907,14430
0.0523,0.0397,4.3278,0,942,14609
0.0604,0.0472,4.3375,1,981,14758
0.0669,0.0775,4.3097,2,895,14906
0.0670,0.0816,4.3117,0,945,15085
0.0748,0.0938,4.3239,1,989,15233
0.0759,0.0873,4.3274,2,896,15381
0.0768,0.0859,4.3259,0,947,15561
0.0638,0.0707,4.3105,1,981,15710
0.0666,0.0719,4.3090,2,896,15859
0.0700,0.0699,4.3062,0,941,16037
0.0813,0.0829,4.3197,1,987,16186
0.0806,0.0685,4.3328,2,901,16335
0.0892,0.0560,4.3212,0,939,16514
0.0894,0.0566,4.3202,1,984,16663
0.0888,0.0460,4.3296,2,905,16812
0.0846,0.0526,4.3375,0,942,16990
0.0775,0.0478,4.3316,1,983,17139
0.0820,0.0719,4.3090,2,896,17288
0.0751,0.0838,4.3204,0,946,17466
0.0638,0.0707,4.3072,1,981,17614
0.0648,0.0567,4.3196,2,902,17762
0.0573,0.0664,4.3291,0,947,17943
0.0573,0.0680,4.3282,1,983,18091
0.0586,0.0660,4.3320,2,902,18239
0.0700,0.0538,4.3191,0,941,18419
0.0759,0.0599,4.3269,1,984,18568
0.0789,0.0750,4.3120,2,896,18716
0.0921,0.0561,4.2919,0,933,18895
0.0977,0.0613,4.2979,1,983,19044
0.1002,0.0571,4.3020,2,897,19192
0.0754,0.0923,4.3357,0,950,19372
0.0392,0.0503,4.2930,1,971,19521
0.0411,0.0489,4.2942,2,899,19668
0.0521,0.0348,4.2801,0,932,19848
0.0755,0.0586,4.3051,1,980,19996
0.0744,0.0500,4.3111,2,901,20145
0.0747,0.0507,4.3125,0,938,20324
0.0809,0.0579,4.3181,1,983,20472
0.0814,0.0638,4.3135,2,898,20621
0.0984,0.0412,4.2895,0,929,20800
0.1042,0.0472,4.2971,1,981,20948
0.1073,0.0611,4.2868,2,893,21097
0.1126,0.0550,4.2810,0,928,21276
0.1087,0.0512,4.2741,1,978,21426
0.1059,0.0027,4.3152,2,911,21574
0.0922,0.0219,4.3348,0,935,21753
0.0834,0.0123,4.3256,1,977,21902
0.0870,0.0433,4.2996,2,900,22051
-2.0133,2.8894,7.2599,0,2280,22230
-1.8471,0.3957,4.6724,1,979,22378
-1.4450,0.7559,4.2268,2,902,22526
-0.6033,0.0012,3.6674,0,939,22706
-0.2911,0.5569,4.0726,1,987,22853
-0.4015,0.2385,4.3977,2,901,23002
-0.1864,0.0001,4.1622,0,940,23182
-0.0657,0.1552,4.3143,1,978,23330
-0.0677,0.1291,4.3381,2,894,23478
-0.0025,0.0474,4.2546,0,938,23658
0.0402,0.0976,4.3038,1,981,23808
0.0386,0.0817,4.3205,2,897,23955
0.0364,0.0867,4.3238,0,952,24134
0.0370,0.0883,4.3248,1,983,24283
0.0360,0.0678,4.3451,2,905,24432
0.0681,0.0252,4.2993,0,932,24610
0.0894,0.0498,4.3236,1,984,24759
0.0912,0.0689,4.3090,2,896,24908
0.0847,0.0795,4.3193,0,944,25086
0.0703,0.0633,4.3030,1,979,25234
0.0731,0.0683,4.3005,2,895,25384
0.0512,0.0954,4.3292,0,953,25563
0.0385,0.0821,4.3152,1,980,25711
0.0321,0.0282,4.3633,2,917,25860
0.0919,-0.0490,4.2825,0,913,26040
0.1330,-0.0047,4.3295,1,982,26187
0.1222,-0.1325,4.4439,2,965,26336
0.0622,-0.0579,4.5375,0,965,26516
0.0321,-0.0919,4.4991,1,984,26664
1.0000,1.0000,1.0000,2,913,26813
1.0000,1.0000,1.0000,0,952,26992
1.0000,1.0000,1.0000,1,985,27140
1.0000,1.0000,1.0000,2,932,27288
1.0000,1.0000,1.0000,0,1131,27468
0.4898,0.4476,1.2380,1,988,27616
0.5671,-0.5029,0.7277,2,944,27764
0.1619,0.0911,0.0941,0,951,27944
0.0962,0.0194,0.1688,1,984,28092
0.1015,0.0424,0.1909,2,904,28241
0.0815,0.0698,0.1650,0,944,28421
0.0710,0.0586,0.1768,1,985,28570
0.0741,0.0629,0.1800,2,902,28718
0.0623,0.0783,0.1660,0,948,28897
0.0559,0.0707,0.1713,1,986,29045
0.0614,0.0948,0.1946,2,893,29195
0.0684,0.0882,0.2017,0,942,29373
0.0497,0.0652,0.2247,1,975,29521
0.0506,0.0545,0.2139,2,898,29670
0.0585,0.0444,0.2235,0,932,29849
0.0739,0.0606,0.2055,1,981,29998
0.0753,0.0607,0.2046,2,898,30146
0.0777,0.0582,0.2095,0,934,30326
0.0682,0.0505,0.2193,1,976,30474
0.0709,0.0637,0.2306,2,892,30623
0.0665,0.0700,0.2234,0,935,30802
