X,Y,Z,ID,TOF,TIME
1.0302,-1.2257,2.5375,0,268,411
0.1543,-0.0283,3.0317,1,724,560
0.2063,0.0255,3.0542,0,829,887
0.2219,0.0010,3.0433,1,721,1035
0.2267,0.0061,3.0447,2,828,1183
0.2306,0.0654,3.0230,0,701,1363
0.2373,0.0549,3.0196,1,729,1513
0.2153,0.0316,3.0106,0,828,1840
0.2244,0.0183,3.0037,1,721,1988
0.2221,0.0156,3.0031,0,826,2316
0.2219,0.0158,3.0037,1,721,2464
0.2244,0.0179,3.0040,2,827,2614
0.2287,0.0656,2.9886,0,698,2792
0.2334,0.0569,2.9851,1,727,2939
0.2182,0.0401,2.9794,0,828,3268
0.2189,0.0388,2.9771,1,724,3417
0.2228,0.0449,2.9783,2,830,3565
0.2231,0.0445,2.9770,0,703,3745
0.2220,0.0465,2.9756,1,725,3894
0.2136,0.0382,2.9720,0,826,4221
0.2139,0.0363,2.9696,1,724,4371
0.2159,0.0378,2.9700,2,827,4518
0.2178,0.0322,2.9704,0,706,4698
0.2176,0.0309,2.9701,1,722,4845
0.2355,0.0492,2.9752,0,833,5174
0.2291,0.0596,2.9786,1,728,5322
0.2107,0.0411,2.9720,2,826,5471
0.2114,0.0486,2.9677,0,701,5650
0.2164,0.0413,2.9647,1,724,5797
0.2089,0.0335,2.9618,0,824,6126
-2.9956,4.7354,4.6731,1,2456,6276
-3.5741,7.7131,5.7534,0,3042,6602
0.4390,0.1551,3.0034,1,723,6752
0.2893,0.0086,2.9503,0,834,7078
0.2697,0.0389,2.9607,1,715,7227
0.2494,0.0174,2.9510,0,828,7556
0.2289,0.0487,2.9622,1,724,7703
0.2349,0.0573,2.9646,0,834,8032
0.2417,0.0480,2.9592,1,721,8179
0.2319,0.0397,2.9546,0,829,8508
0.2282,0.0460,2.9562,1,723,8656
0.2262,0.0454,2.9546,2,829,8805
0.2267,0.0110,2.9632,0,711,8984
0.2151,0.0284,2.9701,1,722,9133
0.2215,0.0349,2.9700,0,827,9460
0.2226,0.0333,2.9701,1,722,9609
0.2169,0.0273,2.9683,2,825,9757
0.2183,0.0396,2.9625,0,703,9936
0.2036,0.0603,2.9691,1,731,10084
0.1943,0.0528,2.9654,0,825,10413
0.2139,0.0255,2.9558,1,720,10561
0.2406,0.0515,2.9646,0,834,10889
0.2370,0.0589,2.9657,1,725,11038
0.2326,0.0549,2.9637,0,833,11366
0.2501,0.0291,2.9533,1,715,11514
0.2625,0.0419,2.9577,0,836,11842
0.2523,0.0581,2.9627,1,722,11990
0.2435,0.0515,2.9588,2,834,12138
0.2441,0.0208,2.9675,0,708,12318
0.2325,0.0383,2.9726,1,722,12466
0.2244,0.0321,2.9700,0,827,12794
0.2207,0.0386,2.9711,1,723,12942
0.2256,0.0449,2.9726,2,830,13090
0.0322,-4.0505,4.2476,0,1955,13271
0.4121,-3.5165,3.7443,1,718,13419
0.2874,-3.4234,3.6563,0,832,13747
0.2541,-3.4613,3.6912,1,721,13895
0.2585,-3.4658,3.6952,0,838,14223
0.2519,-3.4723,3.7017,1,725,14371
0.2778,-3.4936,3.7216,2,850,14521
0.3121,-0.0198,2.8478,0,710,14699
-3.9224,6.5444,4.9077,1,3042,14846
-2.4086,0.7847,3.1055,0,855,15175
-0.4161,-0.5835,2.6726,1,705,15324
0.2817,0.1497,2.8966,2,858,15472
0.2810,0.0276,2.9312,0,703,15652
0.2769,0.0352,2.9323,1,711,15800
0.3240,0.0832,2.9480,0,856,16129
0.3381,0.0609,2.9391,1,708,16278
0.3422,0.0633,2.9384,2,855,16427
0.3412,0.0291,2.9490,0,704,16605
0.3232,0.0571,2.9591,1,711,16752
0.3286,0.0615,2.9602,0,853,17081
0.3408,0.0428,2.9531,1,705,17229
0.3624,0.0654,2.9609,2,861,17378
0.3604,0.0471,2.9643,0,700,17557
0.3493,0.0641,2.9703,1,710,17704
0.3422,0.0545,2.9677,0,855,18033
0.3497,0.0424,2.9618,1,704,18183
0.3419,0.0341,2.9577,2,850,18330
0.3540,-4.0476,4.2003,0,1948,18509
0.6250,-3.5676,3.7586,1,704,18658
0.4263,-3.4272,3.6278,0,857,18985
0.3852,-3.4809,3.6769,1,703,19134
0.3970,-3.4881,3.6841,2,868,19281
0.3582,-0.0113,2.8299,0,706,19463
0.3404,0.0198,2.8387,1,690,19610
0.4210,0.0962,2.8599,0,873,19939
0.4238,0.0921,2.8566,1,697,20087
0.4489,0.1141,2.8631,2,882,20237
0.4535,-0.0085,2.8949,0,711,20415
0.4329,0.0287,2.9063,1,684,20563
0.4515,0.0460,2.9100,0,872,20891
0.4437,0.0634,2.9140,1,692,21041
0.4567,0.0739,2.9153,2,879,21189
0.4570,0.0300,2.9263,0,703,21367
-3.2964,6.7949,5.2729,1,3042,21515
-2.2080,0.8757,3.2247,2,878,21663
-1.6593,1.1930,3.0150,0,707,21843
-0.1186,-0.3092,2.6452,1,687,21992
0.3800,0.2024,2.7657,0,881,22320
0.4447,0.0850,2.7350,1,684,22468
0.4742,0.1124,2.7409,2,880,22618
0.4811,-0.0110,2.7672,0,703,22796
0.4473,0.0487,2.7819,1,678,22945
0.5111,0.1082,2.7953,0,890,23273
0.5233,0.0853,2.7881,1,677,23421
0.5219,0.0830,2.7874,2,887,23570
0.5296,-0.0322,2.8136,0,713,23749
0.4752,0.0709,2.8429,1,684,23896
0.5099,0.1035,2.8516,2,892,24044
0.5166,-0.0052,2.8794,0,710,24225
0.4939,0.0394,2.8935,1,678,24373
0.5258,0.0676,2.9028,0,891,24701
0.5281,0.0639,2.9001,1,680,24849
0.5289,0.0646,2.8998,2,891,24997
0.5345,-0.0029,2.9188,0,713,25178
0.5155,0.0313,2.9310,1,676,25326
0.5369,0.0507,2.9380,0,893,25654
0.5381,0.0487,2.9377,1,678,25803
0.5300,0.0418,2.9349,2,889,25953
0.5296,0.0340,2.9370,0,704,26130
0.5279,0.0388,2.9390,1,677,26277
0.5250,0.0344,2.9365,0,887,26606
0.5293,0.0272,2.9326,1,673,26754
0.5536,0.0481,2.9403,2,896,26902
0.5503,0.0724,2.9311,0,693,27082
0.5669,0.0421,2.9190,1,671,27231
0.5735,0.0486,2.9210,0,899,27558
0.5789,0.0408,2.9170,1,669,27708
0.5898,0.0512,2.9177,2,903,27856
0.5900,0.0340,2.9225,0,704,28036
0.5959,0.0202,2.9168,1,662,28184
0.6084,0.0295,2.9177,0,903,28512
0.6166,0.0123,2.9118,1,657,28659
0.6464,0.0386,2.9188,2,913,28809
0.6455,0.0412,2.9176,0,704,28988
0.6431,0.0489,2.9189,1,664,29135
0.6402,0.0449,2.9156,0,913,29464
0.6427,0.0399,2.9136,1,661,29612
0.6259,0.0245,2.9068,0,905,29940
0.6139,0.0509,2.9150,1,667,30090
0.6149,0.0497,2.9151,0,908,30416
0.6329,0.0153,2.9030,1,655,30566
0.6584,0.0345,2.9101,0,914,30893
0.6594,0.0325,2.9095,1,657,31041
0.6790,0.0485,2.9126,0,922,31370
0.6832,0.0408,2.9085,1,656,31517
0.7086,0.0614,2.9158,2,931,31668
0.7120,0.0281,2.9242,0,711,31846
0.6929,0.0731,2.9392,1,666,31993
-0.7878,-1.1667,2.5166,0,354,32322
-7.4273,0.9994,3.2830,1,2771,32471
-3.6165,-0.9470,2.6010,2,637,32619
-3.4048,-0.7740,2.5781,0,1423,32798
-8.5165,0.4138,2.9205,1,3021,32947
-1.7831,-1.8981,2.2664,0,27,33274
0.9385,-1.9231,2.2500,1,177,33422
-0.5138,-1.9268,2.2545,2,345,33570
-1.0095,-4.4467,2.2560,0,2019,33751
-0.0082,-3.4594,2.2514,1,636,33899
3.1520,-6.3239,2.2449,0,1910,34227
1.9603,-3.0649,2.2470,1,353,34375
-1.5782,-1.9645,2.2578,2,36,34525
-0.3925,0.7022,2.2560,0,523,34703
1.3599,-1.6767,2.2476,1,91,34852
4.4567,-1.4276,2.2395,0,1801,35180
11.3631,-0.2435,2.2271,1,2906,35329
1.1321,-1.5656,2.2523,2,832,35477
0.3820,2.1050,2.2560,0,70,35656
-0.5424,5.3063,2.2621,1,2197,35804
-1.4951,-0.6652,2.2580,0,373,36132
-0.1329,-1.2317,2.2525,1,530,36280
-0.9663,-1.6035,2.2556,2,233,36428
-1.6167,-3.5745,2.2560,0,1817,36609
-0.4607,-2.9716,2.2515,1,660,36756
2.0229,-5.0717,2.2385,0,1421,37085
1.8830,-4.1545,2.2425,1,657,37233
1.0326,-3.6249,2.2484,2,937,37382
0.6169,-0.0817,2.2536,0,711,37561
0.5301,0.0905,2.2538,1,659,37710
0.6950,0.2400,2.2548,2,942,37860
0.7450,-0.0554,2.2560,0,709,38037
0.6589,0.1493,2.2560,1,659,38184
0.7189,0.2032,2.2580,2,940,38334
0.3516,2.2421,2.2560,0,29,38513
0.9244,0.2409,2.2515,1,658,38662
0.7998,0.1367,2.2548,0,945,38989
0.7764,0.2032,2.2538,1,661,39138
0.7681,0.1943,2.2548,2,949,39286
1.6508,-4.1778,2.2560,0,1939,39467
1.6501,-4.2078,2.2539,1,666,39615
0.9785,-3.7509,2.2548,0,944,39943
0.8648,-4.1204,2.2562,1,670,40091
0.7954,-4.0616,2.2580,2,957,40241
0.5018,-0.0162,2.2560,0,689,40419
0.4547,0.0724,2.2561,1,665,40566
0.7319,0.3307,2.2580,2,967,40715
0.7858,0.0576,2.2560,0,679,40895
0.7295,0.2056,2.2561,1,666,41042
0.7710,0.2430,2.2580,2,959,41192
0.8119,0.0489,2.2560,0,683,41371
0.7464,0.2285,2.2562,1,671,41520
0.8114,0.2848,2.2580,2,976,41667
0.8596,0.0749,2.2560,0,678,41847
0.7883,0.2882,2.2564,1,683,41996
0.7835,0.2822,2.2580,2,969,42143
0.8242,0.0937,2.2560,0,671,42323
0.7683,0.2539,2.2563,1,676,42472
0.7901,0.2723,2.2580,2,969,42620
0.8310,0.0837,2.2560,0,674,42800
0.7580,0.2917,2.2564,1,687,42948
